Comment,Description,Designator,Footprint,LibRef,Manufacturer 1,Manufacturer Part Number 1,Quantity,Manufacturer 2,Manufacturer Part Number 2
"2.2uH Wirewound","COIL CHOKE 2.2UH SHIELDED SMD","L6","L_SMD_2.2uH","L_SMD_2.2uH","Panasonic Electronic Components","ELL-VFG2R2NC","1","",""
"2.2uH","INDUCTOR MULTILAYER 2.2UH 0805","L5","C_ERA-0805","L_0805_2.2uH_160mOhm","TDK Corporation","MLZ2012M2R2HT000","1","",""
"2.2k","RES 2.2K OHM 1/32W 5% 01005 SMD","R54, R55","R_01005","R_01005_2.2k","Panasonic Electronic Components","ERJ-XGNJ222Y","2","",""
"1.0uF","CAP CER 1.0UF 16V X5R 0402","C16, C37","C_ERA-0402","C_0402_1.0UF_16V","TDK Corporation","C1005X5R1C105K050BC","2","",""
"1.0k","RES 1K OHM 1/32W 1% 01005 SMD","R45","R_01005","R_01005_1.0k","Yageo","RC0100FR-071KL","1","",""
"1uF","CAP CER 1UF 6.3V 20% JB 0402","C11, C31, C41, C42, C54, C99, C102","C_0402","C_0402_1uF","TDK Corporation","C1005JB0J105M050BB","7","",""
"1k","RES 1K OHM 1/32W 1% 01005 SM","R20, R21, R67","R_01005","R_01005_1k","Panasonic Electronic Components","ERJ-XGNF1001Y","3","",""
"0.47µF","CAP CER 0.47UF 6.3V 20% JB 0201","C57, C77","CAPC0201","C_0201_0.47µF","TDK Corporation","C0603JB0J474M030BC","2","",""
"0.1uF","CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, [NoValue], [NoValue], [NoValue], CAP CER 0.1UF 6.3V 20% X5R 01005, [NoValue], [NoValue], CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005, CAP CER 0.1UF 6.3V 20% X5R 01005","C1, C2, C3, C4, C5, C6, C7, C8, C12, C13, C14, C15, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C33, C34, C35, C36, C44, C45, C46, C49, C51, C55, C56, C58, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C73, C74, C75, C76, C83, C84, C85, C86, C87, C88, C89, C90, C91, C94, C96, C97, C98, C101, C109, C110","C_01005","C_01005_0.1uF","TDK Corporation","C0402X5R0J104M020BC","68","",""
"0 Ohms","RES 0.0 OHM 1/20W JUMP 0201 SMD","R56","R_0201","R_0201_0.0","Panasonic Electronic Components","ERJ-1GE0R00C","1","",""
"0.0","RES 0.0 OHM 1/32W JUMP 01005","R44, R58","R_01005","R_01005_0.0","Samsung Electro-Mechanics America, Inc","RC0402J000CS","2","",""
